,From which University or Institute did you create a spinout?,Uni Location,Year Founded,Department Name,Product Type,Spinout Location,Was your spinout clearly founded on IP that you developed at University?,Did your spinout have hired-in leadership in addition to founders?,Equity: What % of your company did your University/TTO own upon founding and before any investment was raised?,"Equity: Does the equity dilute alongside you or is it protected until you raise $Xm of external capital (i.e. ""golden share"")?",Royalties: What % of net sales does your University/TTO receive?,Upfront payments: Did you pay any to your University/TTO?,Milestone payments: What is the aggregate sum of milestones payable to your University/TTO?,Exit fees: What % of exit proceeds are due to your University/TTO?,Did your University/TTO require a board seat in your spinout?,How many months did your deal take to complete from start to finish?,How much $USD did you raise in connection with your spinout deal?,How much $USD did you raise in your first financing round after you spun out?,How much $USD has your spinout raised in total to date?,What stage is your spinout today?,"Based on your experience, how would you rate the spinout process?",Have you donated money to the University from which you spun out?,Do you intend to become a significant donor if your spinout is successful?
86,KU Leuven,EU,2018,Electrical Engineering,Software,"Genk, Belgium",Yes,No,15%,no value,0%,$0,$0,0%,Yes,15,"$400,000","$400,000","$600,000",Seed,6,No,No
87,"University Antwerpen, IMEC",EU,2019,Computer Science,Software,"Hasselt, Belgium",No,No,0%,no value,4%,"$172,280","$1,120,000",18%,No,18,"$300,000","$200,000","$2,000,000",Seed,2,No,No
88,Trinity College Dublin,EU,2020,Engineering,Hardware,"Dublin, Ireland",Yes,No,5%,no value,0%,$0,$0,0%,No,12,"$300,000",no value,"$300,000",Pre-funding,6,No,Yes
89,KTH,EU,2013,Computer Science,Software,"Stockholm, Sweden",Yes,No,0%,no value,0%,$0,$0,0%,No,0,"$250,000","$3,500,000","$5,000,000",Series A,10,No,Yes
90,TU Berlin,EU,2019,Engineering,Materials,Germany,Yes,No,5%,no value,1%,"$56,000",$0,0%,No,20,"$250,000","$500,000","$1,000,000",Seed,3,No,No
91,Leiden University,EU,2019,Physics,Hardware,"Amsterdam, Netherlands",Yes,Yes,0%,no value,3%,$0,$0,9%,No,10,"$250,000",$0,"$450,000",Seed,3,No,Yes
92,Technical University of Denmark,EU,2018,Physics,Hardware,"Copenhagen, Denmark",Yes,No,0%,no value,2%,$0,"$20,000",0%,No,12,"$100,000","$100,000","$3,000,000",Series A,7,No,Yes
93,Trinity College Dublin,EU,2013,Computer Science,Software,"Dublin, Ireland",Yes,Yes,5%,no value,1%,"$150,000","$150,000",0%,No,6,"$100,000","$250,000","$500,000",Seed,3,No,No
94,TU Delft,EU,2019,Computer Science,Software,"Delft, Netherlands",No,No,15%,no value,0%,$0,$0,0%,Yes,18,"$25,000",no value,"$300,000",Pre-funding,1,No,No
95,UCLouvain,EU,2019,Electrical Engineering,Hardware,"Louvain-La-Neuve, Belgium",Yes,No,52%,no value,3%,"$44,800",$0,0%,Yes,24,"$17,143","$100,000","$100,000",Seed,3,No,No
96,Uppsala University,EU,2017,Chemistry,Materials,no value,Yes,No,0%,no value,0%,$0,$0,0%,No,0,$0,"$1,000,000","$15,000,000",Series A,10,No,Yes
97,ETH Zurich,EU,2017,Biology,Software,"Basel, Switzerland",no value,No,0%,no value,0%,$0,$0,0%,No,0,$0,"$3,500,000","$10,000,000",Series A,9,No,Yes
98,Centre for Genomic Regulation,EU,2018,Biology,Software,"Barcelona, Spain",Yes,No,11%,no value,1%,$0,$0,0%,No,15,$0,"$900,000","$5,000,000",Seed,1,No,Yes
99,PSL,EU,2016,Physics,Hardware,"Paris, France",Yes,No,8%,no value,2%,$0,"$80,000",0%,No,8,$0,"$400,000","$3,500,000",Seed,2,No,No
100,University of Borås,EU,2016,Computer Science,Software,"Varberg, Sweden",no value,No,0%,no value,0%,$0,$0,0%,No,0,$0,"$550,000","$3,000,000",Seed,10,No,Yes
101,ETH Zurich,EU,2020,Computer Science,Software,"Zurich, Switzerland",No,No,0%,no value,0%,$0,$0,0%,No,1,$0,"$2,800,000","$2,800,000",Seed,5,No,Yes
102,NTNU,EU,2016,Computer Science,Software,Nordics,Yes,No,18%,no value,0%,"$55,500",$0,0%,Yes,10,$0,"$300,000","$2,000,000",Seed,0,No,No
103,Fraunhofer EMI,EU,2020,Physics,Software,"Freiburg, Germany",Yes,No,0%,no value,2%,$0,$0,0%,No,12,$0,"$1,200,000","$1,200,000",Seed,5,No,No
104,Otto-von-Guericke-University Magdeburg,EU,2021,Clinical Medicine,Medical Device,"Magdeburg, Germany",Yes,No,0%,no value,5%,$0,$0,0%,No,18,$0,"$500,000","$500,000",Seed,3,No,Yes
105,NTNU,EU,2017,Humanities,Software,"Trondheim, Norway",No,No,50%,no value,0%,"$7,500",$0,0%,No,1,$0,"$400,000","$450,000",Seed,2,"$50,000",No
106,Norwegian University of Science and Technology,EU,2019,Clinical Medicine,Medical device,Norway,Yes,No,15%,no value,1%,"$5,685",$0,1%,No,2,$0,"$150,000","$450,000",Seed,2,No,Yes
107,German University,EU,2019,Computer Science,Software,Germany,Yes,No,0%,no value,15%,"$15,098",$0,0%,No,12,$0,"$300,000","$300,000",Seed,0,No,No
108,Aarhus University,EU,2021,Clinical Medicine,Therapeutic,"Aarhus, Denmark",Yes,Yes,0%,no value,2%,$0,"$160,000",0%,No,6,0,$0,"$220,000",Pre-funding,8,No,No
109,University of Helsinki,EU,2019,Biology,Materials,"Helsinki, Finkand",No,Yes,0%,no value,0%,$0,$0,0%,No,0,$0,"$150,000","$150,000",Pre-funding,1,No,No
110,Universitat de Barcelona,EU,2020,Computer Science,Software,"Barcelona, Spain",Yes,Yes,10%,no value,10%,$0,$0,0%,No,3,$0,"$100,000","$100,000",Pre-funding,8,No,No
111,University of Luxembourg,EU,2019,Biotechnology,Hardware,Luxembourg,Yes,No,0%,no value,7%,$0,$0,0%,No,9,$0,$0,$0,Seed,6,No,No
112,INRAe/CNRS,EU,2017,Biotechnology,Software,"Tours, France",Yes,Yes,0%,no value,5%,$0,$0,0%,No,18,$0,$0,$0,Seed,3,No,No
113,University of Applied Sciences Hamburg,EU,2021,Computer Science,Software,"Hamburg, Germany",No,No,0%,no value,0%,$0,$0,0%,No,0,$0,$0,$0,Pre-funding,7,No,No
114,TU Dresden,EU,2020,Engineering,Hardware,"Dresden, Germany",Yes,No,0%,no value,0%,"$53,760",$0,0%,No,12,$0,no value,no value,no value,5,No,No
115,ETH Zurich,EU,2014,Computer Science,Software,Switzerland,Yes,No,0%,no value,0%,"$16,412",$0,0%,No,1,$0,"$1,000,000",no value,M&A exit,8,"$20,000",No
116,EPFL,EU,2021,Physics,Hardware,Switzerland,No,No,8%,no value,6%,$0,"$1,000,000",0%,No,4,no value,"$1,200,000","$3,000,000",Seed,2,No,No
117,Centre for Genomic Regulation,EU,2020,Biology,Therapeutic,"Barcelona, Spain",No,No,10%,no value,0%,$0,$0,0%,No,no value,no value,no value,no value,Pre-funding,5,No,No
118,Institute of Science Nagpur,APAC,2019,Computer Science,Software,"Mumbai, India",No,No,0%,no value,0%,$0,$0,0%,No,15,"$50,000",$0,$0,Pre-funding,8,No,Yes
119,ANU,APAC,2020,Computer Science,Hardware,no value,Yes,Yes,5%,no value,0%,$0,$0,0%,No,6,5,$5,$12,Seed,8,No,Yes
120,Monash University,APAC,2012,Engineering,Software,"Melbourne, Australia",Yes,No,0%,no value,3%,$0,$0,0%,No,6,$0,"$1,000,000","$68,000,000",IPO exit,7,No,No
121,QUT,APAC,2019,Electrical Engineering,Hardware,"Brisbane, Australia",no value,No,0%,no value,0%,$0,no value,0%,No,18,$0,"$400,000","$450,000",Seed,0,No,No
122,Corporate,no value,2020,Computer Science,Software,no value,No,No,0%,no value,0%,$0,$0,0%,Yes,6,"$500,000","$2,500,000","$3,000,000",Seed,2,No,No
123,Professional studies,no value,2020,Engineering,Software,"Accra, Ghana",No,No,0%,no value,0%,$0,$0,0%,No,5,$0,$30,$60,Seed,8,No,Yes
